ID,出生到配種成功,配種到成功,配種到分娩,分娩到斷乳,胎次,母耳號,父耳號,品種,出生日期
2|66|61|1|1,1582.0,0.0,119.0,21.0,9.0,,,LYL,2011-10-16
2|66|61|1|5,253.0,0.0,,,1.0,,,LY,2015-12-16
2|66|61|3|5,491.0,68.0,-98.0,21.0,2.0,,,LY,2015-06-18
2|66|61|3|6,256.0,0.0,,,1.0,,,LY,2016-04-16
2|66|61|5|5,300.0,0.0,,,1.0,,,LY,2015-12-16
2|66|61|8|3,1362.0,0.0,-80.0,33.0,8.0,,,LY,2013-02-02
2|66|61|9|5,,,,,0.0,,,LY,2015-12-18
2|66|61|13|6,253.0,0.0,117.0,,1.0,,,YL,2016-01-16
2|66|61|20|6,254.0,0.0,117.0,1.0,1.0,,,YL,2016-01-16
2|66|61|22|3,1432.0,0.0,-27.0,22.0,9.0,,,LY,2013-02-23
2|66|61|25|5,,,,,0.0,,,LY,2015-12-31
2|66|61|28|6,271.0,16.0,,,1.0,,,LY,2016-02-06
2|66|61|30|0,1906.0,0.0,118.0,22.0,12.0,,,LY,2010-12-24
2|66|61|33|2,1491.0,0.0,-27.0,22.0,9.0,,,LY,2012-12-09
2|66|61|36|6,264.0,0.0,,,1.0,,,YL,2016-02-08
2|66|61|38|6,,,,,0.0,,,YL,2016-01-16
2|66|61|41|2,1435.0,0.0,-34.0,27.0,8.0,,,LY,2012-12-09
2|66|61|51|5,325.0,0.0,,,1.0,,,LY,2015-12-18
2|66|61|53|2,1476.0,0.0,-35.0,29.0,9.0,,,LY,2012-12-09
2|66|61|55|2,1015.0,112.0,-139.0,22.0,5.0,,,LY,2012-12-09
2|66|61|55|5,361.0,97.0,,,1.0,,,LY,2015-12-18
2|66|61|57|5,,,,,0.0,,,LY,2015-12-18
2|66|61|59|6,,,,,0.0,,,YL,2016-01-16
2|66|61|62|6,276.0,21.0,,,1.0,,,YL,2016-02-28
2|66|61|65|2,1440.0,0.0,-29.0,24.0,9.0,,,LY,2012-12-18
2|66|61|67|5,282.0,0.0,114.0,,1.0,,,YL,2015-12-31
2|66|61|68|6,252.0,0.0,117.0,,1.0,,,LY,2016-01-18
1|66|61|73|6,,,,,0.0,,,D,2016-03-17
2|66|61|76|0,1859.0,0.0,120.0,23.0,11.0,,,LYL,2010-12-24
2|66|61|79|3,1373.0,0.0,-120.0,33.0,8.0,,,LY,2013-01-27
2|66|61|90|3,1429.0,0.0,-35.0,32.0,9.0,,,LY,2013-01-20
2|66|61|95|6,288.0,3584.0,,,1.0,,,LY,2016-02-08
2|66|61|98|5,281.0,0.0,115.0,,1.0,,,LY,2015-12-31
2|66|61|107|2,1483.0,0.0,-32.0,26.0,9.0,,,LY,2012-12-09
2|66|61|109|2,1264.0,53.0,-82.0,24.0,7.0,,,LY,2012-12-09
2|66|61|1131|6,268.0,0.0,,,1.0,,,YL,2016-02-06
2|66|61|119|2,1474.0,0.0,-38.0,31.0,8.0,,,LY,2012-12-05
2|66|61|122|6,262.0,0.0,,,1.0,,,YL,2016-02-28
2|66|61|125|5,400.0,0.0,-29.0,23.0,2.0,,,LY,2015-12-18
2|66|61|133|2,1331.0,27.0,116.0,25.0,8.0,,,LY,2012-12-09
2|66|61|144|5,298.0,0.0,,,1.0,,,LY,2015-12-31
2|66|61|150|5,327.0,0.0,,,1.0,,,LY,2015-12-31
2|66|61|155|2,1460.0,0.0,-30.0,24.0,9.0,,,LY,2012-12-06
2|66|61|161|6,302.0,0.0,,,1.0,,,YL,2016-02-08
2|66|61|169|2,1409.0,0.0,-32.0,26.0,8.0,,,LY,2012-12-06
2|66|61|170|3,1358.0,0.0,118.0,-123.0,8.0,,,LY,2013-01-09
2|66|61|171|2,1281.0,23.0,-78.0,22.0,7.0,,,LY,2012-12-09
2|66|61|173|2,1470.0,0.0,-39.0,32.0,9.0,,,LY,2012-12-09
2|66|61|174|6,255.0,0.0,,,1.0,,,LY,2016-02-28
2|66|61|196|5,,,,,0.0,,,YL,2015-12-31
1|66|61|203|6,,,,,0.0,,,D,2016-03-17
2|66|61|203|6,254.0,0.0,,,1.0,,,LY,2016-02-08
2|66|61|204|6,253.0,0.0,118.0,,1.0,,,LY,2016-01-01
2|66|61|209|6,295.0,0.0,,,1.0,,,LY,2016-02-08
2|66|61|211|6,254.0,0.0,,,1.0,,,LY,2016-02-08
2|66|61|224|3,1347.0,0.0,-32.0,26.0,8.0,,,LY,2013-01-20
2|66|61|231|2,1442.0,0.0,-27.0,22.0,9.0,,,LY,2012-12-07
2|66|61|232|3,1464.0,0.0,-33.0,25.0,9.0,,,LY,2013-01-20
2|66|61|241|6,288.0,34.0,,,1.0,,,LY,2016-01-17
2|66|61|245|6,298.0,0.0,,,1.0,,,LY,2016-01-01
2|66|61|249|6,313.0,57.0,,,1.0,,,LY,2016-01-01
2|66|61|251|6,252.0,0.0,118.0,,1.0,,,LY,2016-01-01
2|66|61|254|3,1468.0,0.0,-30.0,24.0,9.0,,,LY,2013-01-19
2|66|61|259|6,278.0,0.0,,,1.0,,,LY,2016-02-10
2|66|61|263|2,1451.0,0.0,-30.0,24.0,9.0,,,LY,2012-12-08
2|66|61|267|2,1446.0,0.0,-34.0,29.0,9.0,,,LY,2012-12-08
2|66|61|268|6,311.0,53.0,,,1.0,,,LY,2016-01-01
2|66|61|269|2,1066.0,42.0,-72.0,24.0,6.0,,,LY,2012-12-08
2|66|61|277|2,1446.0,0.0,-34.0,29.0,9.0,,,LY,2012-12-08
2|66|61|283|2,1400.0,0.0,114.0,-119.0,8.0,,,LY,2012-12-09
2|66|61|291|6,254.0,0.0,121.0,,1.0,,,LY,2016-01-01
2|66|61|299|2,1504.0,0.0,-32.0,24.0,9.0,,,YL,2012-12-09
2|66|61|305|2,1367.0,0.0,-39.0,29.0,8.0,,,LY,2012-12-08
2|66|61|307|2,1497.0,0.0,-31.0,25.0,9.0,,,LY,2012-12-09
2|66|61|309|2,1501.0,65.0,-98.0,28.0,9.0,,,LY,2012-12-08
2|66|61|3111|2,1442.0,0.0,-27.0,22.0,9.0,,,LY,2012-12-09
2|66|61|313|6,255.0,0.0,,,1.0,,,LY,2016-02-08
2|66|61|337|2,1367.0,0.0,118.0,-124.0,8.0,,,LY,2012-12-18
2|66|61|343|6,298.0,0.0,,,1.0,,,YL,2016-01-18
2|66|61|351|2,1454.0,0.0,-35.0,29.0,9.0,,,LY,2012-12-08
2|66|61|368|6,256.0,0.0,,,1.0,,,LY,2016-02-29
2|66|61|371|2,1500.0,0.0,-30.0,24.0,9.0,,,LY,2012-12-11
2|66|61|393|6,256.0,0.0,,,1.0,,,YL,2016-02-08
2|66|61|396|3,1436.0,0.0,-14.0,13.0,9.0,,,LY,2013-01-11
2|66|61|401|6,285.0,22.0,,,1.0,,,LY,2016-02-29
2|66|61|411|6,253.0,0.0,,,1.0,,,LY,2016-02-08
2|66|61|435|6,260.0,0.0,,,1.0,,,LY,2016-02-10
2|66|61|436|3,1452.0,79.0,-127.0,25.0,7.0,,,LY,2013-01-12
2|66|61|443|6,292.0,36.0,,,1.0,,,LY,2016-02-10
2|66|61|445|6,342.0,56.0,,,1.0,,,LY,2016-02-10
2|66|61|449|6,255.0,0.0,119.0,,1.0,,,LY,2016-01-18
2|66|61|451|2,1477.0,0.0,-30.0,25.0,9.0,,,LY,2012-12-12
2|66|61|471|6,278.0,0.0,,,1.0,,,LY,2016-02-29
1|66|61|481|3,,,,,0.0,,,D,2013-03-19
2|66|61|489|3,1365.0,23.0,-64.0,34.0,8.0,,,YL,2013-01-27
2|66|61|491|6,255.0,0.0,120.0,,1.0,,,LY,2016-01-01
1|66|61|497|3,,,,,0.0,,,D,2013-03-19
2|66|61|498|1,1915.0,0.0,121.0,24.0,12.0,,,LY,2011-02-16
2|66|61|508|3,1390.0,0.0,-97.0,36.0,8.0,,,LY,2013-01-12
2|66|61|513|6,322.0,65.0,,,1.0,,,LY,2016-02-10
2|66|61|524|3,1437.0,0.0,-33.0,27.0,9.0,,,YL,2013-01-19
2|66|61|538|3,1343.0,0.0,115.0,-121.0,8.0,,,LY,2013-01-20
2|66|61|543|6,252.0,0.0,,,1.0,,,YL,2016-02-10
2|66|61|549|6,253.0,0.0,115.0,,1.0,,,YL,2016-01-17
2|66|61|600|6,279.0,20.0,,,1.0,,,YL,2016-01-17
2|66|61|615|6,286.0,0.0,,,1.0,,,LY,2016-02-10
2|66|61|625|6,253.0,0.0,,,1.0,,,LY,2016-02-29
2|66|61|629|3,1334.0,0.0,120.0,10.0,8.0,,,LY,2013-01-17
1|66|61|643|4,,,,,0.0,,,D,2014-10-05
2|66|61|644|6,258.0,0.0,,,1.0,,,LY,2016-02-28
2|66|61|659|2,1440.0,0.0,-36.0,30.0,9.0,,,LY,2012-12-19
1|66|61|661|4,,,,,0.0,,,D,2014-10-05
2|66|61|666|6,266.0,0.0,,,1.0,,,LY,2016-02-29
2|66|61|672|3,1371.0,0.0,-35.0,29.0,8.0,,,LY,2013-01-20
2|66|61|676|6,256.0,0.0,,,1.0,,,LY,2016-02-29
2|66|61|695|6,264.0,0.0,,,1.0,,,YL,2016-02-10
1|66|61|699|3,,,,,0.0,,,D,2013-03-26
2|66|61|707|6,266.0,0.0,114.0,,1.0,,,LY,2016-01-17
2|66|61|721|6,252.0,0.0,,,1.0,,,LY,2016-01-17
2|66|61|725|3,1306.0,0.0,117.0,-123.0,8.0,,,LY,2013-03-03
2|66|61|750|3,1456.0,0.0,-30.0,23.0,9.0,,,YL,2013-01-20
2|66|61|752|3,1049.0,0.0,-30.0,25.0,6.0,,,YL,2013-02-23
2|66|61|755|3,1075.0,0.0,115.0,26.0,6.0,,,LY,2013-01-17
2|66|61|768|3,1428.0,0.0,-34.0,29.0,9.0,,,YL,2013-01-20
2|66|61|771|2,1506.0,0.0,-49.0,27.0,9.0,,,LY,2012-12-14
2|66|61|778|3,1436.0,0.0,-35.0,29.0,9.0,,,YL,2013-01-20
2|66|61|781|6,256.0,0.0,,,1.0,,,LY,2016-02-06
2|66|61|791|2,1060.0,0.0,-40.0,25.0,6.0,,,LY,2012-12-14
2|66|61|836|0,1995.0,0.0,121.0,23.0,12.0,,,LY,2010-10-11
2|66|61|844|3,1449.0,0.0,-33.0,28.0,9.0,,,LY,2013-01-20
1|66|61|857|4,,,,,0.0,,,D,2014-10-09
1|66|61|865|4,,,,,0.0,,,D,2014-10-09
2|66|61|870|6,255.0,0.0,,,1.0,,,LY,2016-03-01
2|66|61|887|6,251.0,0.0,,,1.0,,,LY,2016-02-10
2|66|61|893|2,1222.0,0.0,-54.0,24.0,7.0,,,LY,2012-12-14
2|66|61|901|3,1341.0,0.0,120.0,-126.0,8.0,,,LY,2013-01-17
2|66|61|912|0,1993.0,0.0,121.0,22.0,12.0,,,LY,2010-10-11
2|66|61|932|6,261.0,0.0,,,1.0,,,LY,2016-02-29
2|66|61|942|6,269.0,0.0,,,1.0,,,LY,2016-01-17
2|66|61|944|1,1640.0,0.0,120.0,24.0,10.0,,,LY,2011-10-19
2|66|61|949|6,264.0,0.0,,,1.0,,,YL,2016-02-10
2|66|61|972|3,1348.0,0.0,-35.0,29.0,8.0,,,LY,2013-02-23
