場次,部門,胎次,生幾頭,死幾頭,活幾頭,活著的平均重,母品種,公品種,母出生到配種成功,公出生到配種成功,初配種到成功,配種成功到分娩,分娩到斷乳
66,61,8,10,0,10,9.7,LYL,,1431.0,,0.0,121.0,25.0
66,61,9,9,0,9,5.9,LYL,,1582.0,,0.0,119.0,21.0
66,61,1,8,8,0,,LY,,273.0,,0.0,120.0,21.0
66,61,6,9,0,9,9.6,LY,,991.0,,0.0,117.0,22.0
66,61,7,7,3,4,7.0,LY,,1136.0,,0.0,119.0,27.0
66,61,8,9,3,6,6.5,LY,,1287.0,,0.0,118.0,22.0
66,61,11,8,0,8,9.0,,,,,0.0,120.0,24.0
66,61,12,8,0,8,6.5,,,,,0.0,118.0,22.0
66,61,6,10,10,0,,LY,,1050.0,,0.0,117.0,23.0
66,61,7,6,0,6,7.0,LY,,1196.0,,0.0,117.0,24.0
66,61,8,8,0,8,7.9,LY,,1343.0,,0.0,121.0,22.0
66,61,6,10,7,3,9.3,LY,,1097.0,,0.0,120.0,22.0
66,61,7,9,5,4,9.6,LY,,1289.0,,23.0,112.0,27.0
66,61,6,9,0,9,8.100000000000001,LY,,1021.0,,0.0,116.0,25.0
66,61,7,10,0,10,6.3,LY,,1168.0,,0.0,115.0,31.0
66,61,8,8,4,4,9.2,LY,,1324.0,,0.0,117.0,29.0
66,61,6,10,10,0,,LY,,997.0,,0.0,118.0,22.0
66,61,7,9,0,9,6.300000000000002,LY,,1142.0,,0.0,121.0,23.0
66,61,8,9,5,4,6.5,LY,,1292.0,,0.0,119.0,24.0
66,61,11,8,0,8,5.7,LYL,,1859.0,,0.0,120.0,23.0
66,61,6,9,0,9,9.0,,,,,0.0,117.0,22.0
66,61,7,9,0,9,5.9,,,,,0.0,118.0,21.0
66,61,8,10,4,6,9.2,,,,,0.0,115.0,32.0
66,61,6,9,0,9,9.0,,,,,0.0,119.0,20.0
66,61,7,8,0,8,7.0,,,,,0.0,120.0,22.0
66,61,8,9,5,4,7.0,,,,,0.0,117.0,26.0
66,61,6,10,0,10,9.6,,,,,0.0,120.0,24.0
66,61,5,10,0,10,8.1,LY,,1023.0,,0.0,116.0,27.0
66,61,6,10,0,10,6.3,LY,,1172.0,,0.0,118.0,23.0
66,61,7,9,7,2,9.2,LY,,1320.0,,0.0,116.0,31.0
66,61,1,9,0,9,6.300000000000002,LY,,252.0,,0.0,119.0,23.0
66,61,6,10,10,0,,LY,,1005.0,,0.0,116.0,25.0
66,61,7,9,0,9,7.0,LY,,1152.0,,0.0,119.0,29.0
66,61,8,9,0,9,9.2,LY,,1331.0,,27.0,116.0,25.0
66,61,6,9,0,9,8.100000000000001,LY,,1021.0,,0.0,118.0,24.0
66,61,7,8,0,8,5.7,LY,,1169.0,,0.0,116.0,20.0
66,61,8,9,0,9,7.0,LY,,1312.0,,0.0,118.0,24.0
66,61,6,8,0,8,9.3,LY,,1108.0,,0.0,121.0,25.0
66,61,7,10,3,7,8.9,LY,,1260.0,,0.0,117.0,26.0
66,61,6,10,1,9,9.3,LY,,1082.0,,0.0,121.0,22.0
66,61,6,11,0,11,7.0,LY,,1021.0,,0.0,115.0,26.0
66,61,7,10,0,10,6.5,LY,,1168.0,,0.0,117.0,24.0
66,61,8,9,0,9,9.2,LY,,1316.0,,0.0,115.0,32.0
66,61,6,7,0,7,9.3,LY,,1048.0,,0.0,122.0,22.0
66,61,7,8,3,5,9.5,LY,,1197.0,,0.0,118.0,26.0
66,61,7,10,0,10,5.5,LY,,1148.0,,0.0,120.0,22.0
66,61,8,9,5,4,6.1,LY,,1295.0,,0.0,120.0,22.0
66,61,6,7,0,7,9.6,LY,,1016.0,,0.0,120.0,21.0
66,61,7,7,0,7,7.0,LY,,1163.0,,0.0,118.0,28.0
66,61,8,8,0,8,6.7,LY,,1315.0,,0.0,116.0,25.0
66,61,6,9,0,9,9.0,LY,,1019.0,,0.0,116.0,28.0
66,61,7,8,3,5,7.0,LY,,1169.0,,0.0,118.0,28.0
66,61,8,10,4,6,6.3,LY,,1321.0,,0.0,117.0,24.0
66,61,6,9,0,9,8.100000000000001,LY,,1007.0,,0.0,118.0,22.0
66,61,7,9,0,9,6.300000000000002,LY,,1153.0,,0.0,120.0,23.0
66,61,8,9,6,3,6.5,LY,,1301.0,,0.0,120.0,24.0
66,61,7,8,6,2,8.0,LY,,1145.0,,0.0,118.0,28.0
66,61,8,8,0,8,8.0,LY,,1296.0,,0.0,116.0,29.0
66,61,7,8,5,3,8.0,LY,,1145.0,,0.0,118.0,28.0
66,61,8,9,3,6,8.0,LY,,1296.0,,0.0,116.0,29.0
66,61,6,10,0,10,9.3,LY,,1104.0,,0.0,119.0,21.0
66,61,7,10,0,10,7.0,LY,,1250.0,,0.0,119.0,26.0
66,61,6,10,3,7,9.6,YL,,1060.0,,0.0,117.0,20.0
66,61,7,10,5,5,5.34,YL,,1204.0,,0.0,120.0,22.0
66,61,8,10,4,6,6.3,YL,,1354.0,,0.0,118.0,24.0
66,61,6,7,0,7,9.6,,,,,0.0,118.0,24.0
66,61,7,11,0,11,7.0,,,,,0.0,117.0,29.0
66,61,6,0,0,0,,,,,,0.0,105.0,0.0
66,61,7,9,0,9,5.9,,,,,0.0,120.0,22.0
66,61,8,9,3,6,7.899999999999999,,,,,42.0,119.0,25.0
66,61,7,9,3,6,9.7,,,,,0.0,117.0,30.0
66,61,8,8,4,4,8.0,,,,,0.0,115.0,28.0
66,61,6,9,0,9,9.7,LY,,1000.0,,0.0,118.0,23.0
66,61,7,11,0,11,5.3,LY,,1147.0,,0.0,120.0,23.0
66,61,8,9,0,9,6.1,LY,,1295.0,,0.0,120.0,22.0
66,61,6,11,4,7,9.6,LY,,1074.0,,0.0,117.0,23.0
66,61,7,9,0,9,6.655555555555555,LY,,1219.0,,0.0,117.0,25.0
66,61,6,10,10,0,,LY,,1005.0,,0.0,120.0,22.0
66,61,7,12,0,12,8.0,LY,,1152.0,,0.0,119.0,27.0
66,61,8,9,4,5,8.0,LY,,1303.0,,0.0,116.0,29.0
66,61,6,9,0,9,9.6,LY,,1058.0,,0.0,121.0,18.0
66,61,7,10,4,6,5.5,LY,,1202.0,,0.0,121.0,21.0
66,61,8,9,0,9,6.300000000000002,LY,,1351.0,,0.0,119.0,24.0
66,61,8,9,6,3,9.6,LY,,1307.0,,0.0,115.0,13.0
66,61,6,9,0,9,9.0,LY,,1044.0,,0.0,118.0,20.0
