場號,部門,客戶代碼,銷售別,銷售日期,實售總頭數,合計市場磅重,實售總金額,銷售廠號,異動日期,建檔者日期,豬類
66,60,0999,41,2016-01-05,20,835,47472,66,2016-01-06,2016-01-06,44
66,60,4907,40,2016-01-07,100,12436.5,923737,15,2016-01-12,2016-01-12,44
66,60,4887,40,2016-01-04,50,6597.6,471053,15,2016-01-12,2016-01-12,44
66,60,4887,40,2016-01-08,50,6261.4,459202,15,2016-01-12,2016-01-12,44
66,60,4884,40,2016-01-04,50,6430.6,471271,15,2016-01-12,2016-01-12,44
66,60,4884,40,2016-01-08,50,6510.6,477586,15,2016-01-12,2016-01-12,44
66,60,4891,40,2016-01-02,50,6563.5,457092,25,2016-01-12,2016-01-12,44
66,60,4882,40,2016-01-01,50,6107.5,458673,25,2016-01-12,2016-01-12,44
66,60,4882,40,2016-01-06,50,6239.5,449006,25,2016-01-12,2016-01-12,44
66,60,4891,40,2016-01-08,50,6692.5,463688,25,2016-01-13,2016-01-13,44
66,60,4887,40,2016-01-11,50,6236.2,453832,15,2016-01-14,2016-01-14,44
66,60,4884,40,2016-01-11,50,6150,446928,15,2016-01-14,2016-01-14,44
66,60,4882,40,2016-01-12,50,5994.5,452582,25,2016-01-14,2016-01-14,44
66,60,4891,40,2016-01-13,50,6635.5,474201,25,2016-01-18,2016-01-18,44
66,60,7079,70,2016-01-12,99,9393,776710,08,2016-01-29,2016-01-18,44
66,60,4887,40,2016-01-14,50,6329.8,456628,15,2016-01-19,2016-01-19,44
66,60,4884,40,2016-01-14,50,6258.2,446650,15,2016-01-19,2016-01-19,44
66,60,4891,40,2016-01-15,50,6660,458103,25,2016-01-19,2016-01-19,44
66,60,4882,40,2016-01-16,50,5969.5,421952,25,2016-01-19,2016-01-19,44
66,60,4884,40,2016-01-18,50,6191,439633,15,2016-01-19,2016-01-19,44
66,60,4887,40,2016-01-18,50,6127.8,458716,15,2016-01-19,2016-01-19,44
66,60,7079,70,2016-01-19,98,9246.9,753885,08,2016-01-29,2016-01-25,44
66,60,4887,40,2016-01-21,50,5996.4,438868,15,2016-01-26,2016-01-26,44
66,60,4884,40,2016-01-21,50,6285.8,427518,15,2016-01-26,2016-01-26,44
66,60,4891,40,2016-01-22,50,6298,449145,25,2016-01-27,2016-01-27,44
66,60,4882,40,2016-01-23,50,5985,416329,25,2016-01-28,2016-01-27,44
66,60,4891,40,2016-01-25,50,6348.5,452059,25,2016-01-28,2016-01-28,44
66,60,4882,40,2016-01-25,50,5689.5,398513,25,2016-01-28,2016-01-28,44
66,60,4887,40,2016-02-01,50,5939.8,415485,15,2016-02-13,2016-02-13,44
66,60,4884,40,2016-02-01,50,6338.6,461080,15,2016-02-13,2016-02-13,44
66,60,4884,40,2016-02-03,50,5972.8,416068,15,2016-02-13,2016-02-13,44
66,60,4891,40,2016-02-02,50,6323,472636,25,2016-02-15,2016-02-15,44
66,60,4882,40,2016-02-03,50,5966,446653,25,2016-02-15,2016-02-15,44
66,60,4882,40,2016-02-05,50,6077.5,431698,25,2016-02-15,2016-02-15,44
66,60,4887,40,2016-02-19,45,5628,404470,15,2016-02-22,2016-02-22,44
66,60,4884,40,2016-02-17,45,5565.6,401995,15,2016-02-22,2016-02-22,44
66,60,4884,40,2016-02-19,50,6306,432885,15,2016-02-22,2016-02-22,44
66,60,4882,40,2016-02-18,50,6011.5,410890,25,2016-02-22,2016-02-22,44
66,60,4891,40,2016-02-17,50,6058,422859,25,2016-02-22,2016-02-22,44
66,60,7079,70,2016-02-16,100,9250.6,766724,08,2016-02-25,2016-02-23,44
66,60,4882,40,2016-02-24,50,6132,411803,25,2016-02-26,2016-02-26,44
66,60,4887,40,2016-03-03,49,6423.6,457520,15,2016-03-07,2016-03-07,44
66,60,4884,40,2016-03-03,50,6198.2,441062,15,2016-03-07,2016-03-07,44
66,60,4891,40,2016-03-02,50,6565,437559,25,2016-03-08,2016-03-08,44
66,60,4882,40,2016-03-02,50,6193.5,420200,25,2016-03-08,2016-03-08,44
66,60,4884,40,2016-03-09,50,6281.4,438479,15,2016-03-12,2016-03-11,44
66,60,4887,40,2016-03-09,50,6178.4,434487,15,2016-03-12,2016-03-11,44
66,60,4891,40,2016-03-10,50,6436.5,426365,25,2016-03-15,2016-03-15,44
66,60,4891,40,2016-03-12,50,6743.5,436291,25,2016-03-15,2016-03-15,44
66,60,4882,40,2016-03-12,50,5893.5,398655,25,2016-03-15,2016-03-15,44
66,60,4887,40,2016-03-15,50,6180.6,415686,15,2016-03-17,2016-03-17,44
66,60,4884,40,2016-03-15,50,6295.2,450678,15,2016-03-17,2016-03-17,44
66,60,7079,70,2016-03-09,100,9181.5,718678,08,2016-03-21,2016-03-17,44
66,60,4891,40,2016-03-16,50,6417.5,423088,25,2016-03-18,2016-03-18,44
66,60,4891,40,2016-03-17,50,6705,438494,25,2016-03-19,2016-03-19,44
66,60,4882,40,2016-03-18,50,6054,434341,25,2016-03-21,2016-03-21,44
66,60,7079,70,2016-03-22,100,9367.4,735543,08,2016-03-31,2016-03-23,44
66,60,4907,40,2016-03-17,100,11653,850632,15,2016-03-28,2016-03-28,44
66,60,4887,40,2016-03-23,50,6438,449544,15,2016-03-28,2016-03-28,44
66,60,4884,40,2016-03-23,50,5968.2,417366,15,2016-03-28,2016-03-28,44
66,60,4891,40,2016-03-19,50,6232.5,405915,25,2016-03-28,2016-03-28,44
66,60,4891,40,2016-03-22,49,6490.5,441784,25,2016-03-28,2016-03-28,44
66,60,4891,40,2016-03-25,50,6442.5,443274,25,2016-03-28,2016-03-28,44
66,60,4882,40,2016-03-25,50,6229.5,435974,25,2016-03-28,2016-03-28,44
66,60,4887,40,2016-04-07,50,6465.4,455008,15,2016-04-15,2016-04-15,44
66,60,4887,40,2016-04-12,50,6642.6,478174,15,2016-04-15,2016-04-15,44
66,60,4884,40,2016-04-07,50,6224.6,430478,15,2016-04-15,2016-04-15,44
66,60,4884,40,2016-04-12,50,6313,471419,15,2016-04-15,2016-04-15,44
66,60,4891,40,2016-04-02,50,6557.5,445170,25,2016-04-15,2016-04-15,44
66,60,4891,40,2016-04-06,50,6434.5,442559,25,2016-04-15,2016-04-15,44
66,60,4882,40,2016-04-13,50,5910,418544,25,2016-04-15,2016-04-15,44
66,60,4882,40,2016-04-14,50,6033,426452,25,2016-04-19,2016-04-19,44
66,60,7079,70,2016-04-05,99,9270.6,734596,08,2016-04-28,2016-04-19,44
66,60,7079,70,2016-04-13,100,9127.6,732514,08,2016-04-28,2016-04-20,44
66,60,4891,40,2016-04-13,50,6252.5,409852,25,2016-04-21,2016-04-21,44
66,60,4907,40,2016-04-19,100,11893.5,910954,15,2016-04-22,2016-04-22,44
66,60,4884,40,2016-04-20,50,5977.2,417422,15,2016-04-22,2016-04-22,44
66,60,4887,40,2016-04-20,50,6210.2,442017,15,2016-04-22,2016-04-22,44
66,60,4887,40,2016-04-22,50,6182.2,446892,15,2016-04-25,2016-04-25,44
66,60,4884,40,2016-04-22,50,5917.2,419334,15,2016-04-25,2016-04-25,44
66,60,4882,40,2016-04-23,50,5971,421720,25,2016-04-26,2016-04-26,44
66,60,4882,40,2016-04-26,50,5737,418291,25,2016-04-27,2016-04-27,44
66,60,0999,41,2016-04-28,25,1435,79118,66,2016-04-29,2016-04-29,44
66,60,4887,40,2016-05-03,50,6199,431502,15,2016-05-13,2016-05-13,44
66,60,4887,40,2016-05-11,50,6088.4,444796,15,2016-05-13,2016-05-13,44
66,60,4884,40,2016-05-03,50,6033.6,416098,15,2016-05-13,2016-05-13,44
66,60,4884,40,2016-05-11,50,5896.8,434814,15,2016-05-13,2016-05-13,44
66,60,4891,40,2016-05-04,50,6189.5,436893,25,2016-05-13,2016-05-13,44
66,60,4891,40,2016-05-10,50,6120,443009,25,2016-05-13,2016-05-13,44
66,60,4882,40,2016-05-05,50,5798.5,414629,25,2016-05-13,2016-05-13,44
66,60,4882,40,2016-05-13,50,5943.5,431084,25,2016-05-23,2016-05-16,44
66,60,4882,40,2016-05-16,50,5659.5,418805,25,2016-05-18,2016-05-18,44
