ID,實售總頭數,合計市場磅重,實售總金額,每磅平均金額,每隻平均磅數
6660,17.5,801.25,45096.5,56.7621991318,43.5375
6661,17.45,3108.6583333333,139527.866666667,52.5614282594,160.4050938387
6663,10.724137931,1636.0206896552,81458.0689655172,55.055190236,155.0028529483
6664,9.9818181818,1715.5454545455,81732.0727272727,47.8499146715,166.1484912134
6665,15,1697.692,88619.18,56.6909845741,120.8129644339
6666,15.1627906977,2581.123255814,114052.23255814,51.8911797785,166.7774688857
6668,17.3636363636,1824.4204545455,89818.2727272727,55.7770965031,130.4377382252
6669,11.7435897436,2036.6666666667,91697.0512820513,51.3323896825,147.4747760078
6670,14.8333333333,2382.39375,108644.4375,49.7399881823,161.5345233056
6672,10.7669902913,1697.6854368932,84954.2427184466,55.9883719753,156.4461901789
6673,7.2291666667,1177.6458333333,49500.0625,41.4105123914,161.3846651582
6675,42.875,7553.3125,352346.4375,46.8678114134,173.269345484
6676,18.5263157895,2843.5394736842,131578.5,54.2529784525,146.1068689104
6677,16.2093023256,2508.0953488372,119305.674418605,51.2544050708,149.5255374368
6678,32.4117647059,6079,271492.058823529,47.7575827427,185.2276136735
6680,14.6046511628,2147.0348837209,99046.4186046512,49.9296868621,159.3455315587
6681,16.2307692308,2847.625,139041.653846154,58.4968770318,151.0573671129
6682,16.7647058824,2537.955882353,123498.485294118,58.6258217624,138.4488932513
6683,17,2955.5588235294,131534.823529412,46.6807107145,167.7088742812
9830,3.2008086253,521.7102425876,23004.4927587388,48.9496482855,137.0122625314
9896,10.8620689655,1232.3103448276,48607.7510186705,38.1925439397,118.1784434424
